store_id,sale_id,product_id,sale_date,quantity,total_amount,store_region,store_size,open_date,year,sale_per_sq_ft
17,sale_434,50,2020-01-20,40,397.09,East,2606.2,2010-09-23,2020,0.15
10,sale_552,7,2020-10-30,83,3859.36,East,2606.2,2006-01-18,2020,1.48
13,sale_756,16,2021-11-09,52,2188.74,West,2606.2,2009-10-03,2021,0.84
20,sale_543,9,2020-01-02,72,381.18,North,4867,2019-11-25,2020,0.08
16,sale_584,18,2022-01-15,85,4057.16,East,2606.2,2003-10-01,2022,1.56
10,sale_639,46,2022-10-13,69,3306.02,East,2606.2,2006-01-18,2022,1.27
12,sale_798,23,2021-07-05,21,1009.34,West,840,2000-03-22,2021,1.2
13,sale_831,8,2020-07-02,95,1445.52,West,2606.2,2009-10-03,2020,0.55
17,sale_149,20,2020-06-12,28,258.63,East,2606.2,2010-09-23,2020,0.1
10,sale_290,40,2020-08-13,59,374.98,East,2606.2,2006-01-18,2020,0.14
9,sale_661,12,2020-11-29,38,1041.13,North,3653,2018-12-24,2020,0.29
17,sale_134,50,2022-06-28,89,975.52,East,2606.2,2010-09-23,2022,0.37
16,sale_332,34,2021-03-02,53,733.94,East,2606.2,2003-10-01,2021,0.28
3,sale_712,40,2021-05-30,83,3741.66,West,4989,2000-08-23,2021,0.75
4,sale_15,29,2020-11-28,52,809.9,West,4942,2016-08-12,2020,0.16
5,sale_190,8,2020-12-25,21,607.59,North,2606.2,2002-06-09,2020,0.23
10,sale_865,12,2021-07-01,39,1581.28,East,2606.2,2006-01-18,2021,0.61
17,sale_253,11,2022-08-13,67,537.94,East,2606.2,2010-09-23,2022,0.21
14,sale_745,43,2022-11-27,32,1355.32,North,1116,2003-06-30,2022,1.21
16,sale_440,13,2022-01-11,1,34.85,East,2606.2,2003-10-01,2022,0.01
3,sale_643,41,2022-01-21,4,24.63,West,4989,2000-08-23,2022,0
2,sale_691,30,2022-08-15,34,660.9,West,1510,2009-07-07,2022,0.44
13,sale_199,21,2020-08-29,25,899.81,West,2606.2,2009-10-03,2020,0.35
13,sale_479,12,2020-01-04,59,1486.13,West,2606.2,2009-10-03,2020,0.57
4,sale_686,26,2021-09-15,99,3578.78,West,4942,2016-08-12,2021,0.72
17,sale_878,13,2021-08-05,16,222.96,East,2606.2,2010-09-23,2021,0.09
14,sale_946,10,2020-01-02,55,335.94,North,1116,2003-06-30,2020,0.3
13,sale_210,30,2021-04-12,66,2534.33,West,2606.2,2009-10-03,2021,0.97
14,sale_406,12,2020-11-15,14,586.05,North,1116,2003-06-30,2020,0.53
16,sale_463,9,2022-06-25,69,2095.45,East,2606.2,2003-10-01,2022,0.8
19,sale_521,3,2022-01-23,29,312.54,North,2606.2,2018-10-12,2022,0.12
11,sale_489,11,2022-10-19,54,1114.63,East,2606.2,2018-04-22,2022,0.43
4,sale_608,46,2021-12-29,36,1324.37,West,4942,2016-08-12,2021,0.27
13,sale_679,31,2020-05-22,92,507.37,West,2606.2,2009-10-03,2020,0.19
13,sale_715,10,2020-03-23,78,959.18,West,2606.2,2009-10-03,2020,0.37
9,sale_883,43,2020-02-03,43,342.98,North,3653,2018-12-24,2020,0.09
11,sale_698,38,2022-09-24,92,2421.08,East,2606.2,2018-04-22,2022,0.93
10,sale_157,40,2021-10-24,43,809.72,East,2606.2,2006-01-18,2021,0.31
10,sale_547,14,2022-05-08,100,1195.61,East,2606.2,2006-01-18,2022,0.46
11,sale_689,13,2021-01-06,47,1999.74,East,2606.2,2018-04-22,2021,0.77
9,sale_939,20,2022-03-25,39,853.76,North,3653,2018-12-24,2022,0.23
7,sale_782,34,2021-05-19,51,2133.53,North,2606.2,2005-07-19,2021,0.82
17,sale_960,6,2020-02-16,36,1138.45,East,2606.2,2010-09-23,2020,0.44
10,sale_92,16,2020-09-02,38,824.83,East,2606.2,2006-01-18,2020,0.32
5,sale_766,33,2021-08-29,1,32.53,North,2606.2,2002-06-09,2021,0.01
9,sale_793,32,2020-08-17,45,440.06,North,3653,2018-12-24,2020,0.12
13,sale_423,2,2022-10-23,45,2213.45,West,2606.2,2009-10-03,2022,0.85
2,sale_595,11,2022-10-08,6,148.12,West,1510,2009-07-07,2022,0.1
5,sale_988,34,2020-07-18,94,1176.46,North,2606.2,2002-06-09,2020,0.45
5,sale_132,5,2021-03-15,42,942.69,North,2606.2,2002-06-09,2021,0.36
18,sale_417,3,2021-03-01,38,809.74,West,1191,2016-01-23,2021,0.68
10,sale_437,11,2020-10-24,62,2800.48,East,2606.2,2006-01-18,2020,1.07
10,sale_632,18,2020-05-11,43,409.33,East,2606.2,2006-01-18,2020,0.16
20,sale_702,37,2020-10-28,64,1887.78,North,4867,2019-11-25,2020,0.39
7,sale_953,25,2020-06-14,12,521.26,North,2606.2,2005-07-19,2020,0.2
19,sale_562,4,2022-04-05,33,731.44,North,2606.2,2018-10-12,2022,0.28
18,sale_837,25,2021-11-30,8,325.87,West,1191,2016-01-23,2021,0.27
5,sale_916,28,2020-08-19,72,760.16,North,2606.2,2002-06-09,2020,0.29
20,sale_931,47,2020-02-14,2,68.11,North,4867,2019-11-25,2020,0.01
12,sale_41,28,2022-05-13,23,278.7,West,840,2000-03-22,2022,0.33
7,sale_582,8,2021-04-05,48,955.61,North,2606.2,2005-07-19,2021,0.37
11,sale_627,49,2022-01-09,32,1417.65,East,2606.2,2018-04-22,2022,0.54
13,sale_769,9,2020-03-21,86,4009.91,West,2606.2,2009-10-03,2020,1.54
12,sale_861,17,2022-01-16,42,1719.38,West,840,2000-03-22,2022,2.05
19,sale_182,48,2021-08-08,82,3109.07,North,2606.2,2018-10-12,2021,1.19
7,sale_383,30,2021-11-12,51,614.36,North,2606.2,2005-07-19,2021,0.24
20,sale_792,38,2020-03-16,70,780.83,North,4867,2019-11-25,2020,0.16
5,sale_231,43,2020-05-18,48,1577.68,North,2606.2,2002-06-09,2020,0.61
7,sale_439,22,2022-04-27,42,351.62,North,2606.2,2005-07-19,2022,0.13
13,sale_935,14,2021-04-28,60,1691.51,West,2606.2,2009-10-03,2021,0.65
20,sale_995,47,2021-01-09,6,60.67,North,4867,2019-11-25,2021,0.01
16,sale_22,14,2021-02-12,84,1848.9,East,2606.2,2003-10-01,2021,0.71
14,sale_193,28,2020-06-16,54,1336.64,North,1116,2003-06-30,2020,1.2
7,sale_318,34,2020-06-11,66,2171.69,North,2606.2,2005-07-19,2020,0.83
3,sale_681,30,2022-03-04,94,2311.25,West,4989,2000-08-23,2022,0.46
3,sale_31,19,2022-04-17,22,487.93,West,4989,2000-08-23,2022,0.1
3,sale_130,31,2021-11-21,7,258.82,West,4989,2000-08-23,2021,0.05
10,sale_889,5,2021-08-09,28,827.69,East,2606.2,2006-01-18,2021,0.32
12,sale_274,25,2020-06-27,76,1085.99,West,840,2000-03-22,2020,1.29
5,sale_816,48,2022-12-23,33,1479.36,North,2606.2,2002-06-09,2022,0.57
20,sale_899,29,2021-12-14,61,1446.9,North,4867,2019-11-25,2021,0.3
10,sale_948,39,2021-09-23,12,274.62,East,2606.2,2006-01-18,2021,0.11
5,sale_692,5,2022-01-14,71,797.83,North,2606.2,2002-06-09,2022,0.31
18,sale_410,47,2022-02-05,63,716.84,West,1191,2016-01-23,2022,0.6
13,sale_906,14,2020-04-18,66,2396.55,West,2606.2,2009-10-03,2020,0.92
13,sale_321,19,2021-08-17,46,1131.55,West,2606.2,2009-10-03,2021,0.43
4,sale_838,22,2022-08-12,4,158.47,West,4942,2016-08-12,2022,0.03
19,sale_607,25,2022-10-20,24,979.69,North,2606.2,2018-10-12,2022,0.38
20,sale_619,45,2020-11-28,66,1243.64,North,4867,2019-11-25,2020,0.26
10,sale_621,3,2020-09-18,86,794.79,East,2606.2,2006-01-18,2020,0.3
16,sale_666,7,2021-07-22,18,550.62,East,2606.2,2003-10-01,2021,0.21
20,sale_752,25,2021-11-30,29,1376.69,North,4867,2019-11-25,2021,0.28
10,sale_774,35,2020-10-09,73,2966.84,East,2606.2,2006-01-18,2020,1.14
20,sale_139,46,2022-08-16,41,375.12,North,4867,2019-11-25,2022,0.08
7,sale_244,2,2021-05-10,71,1654.81,North,2606.2,2005-07-19,2021,0.63
12,sale_457,37,2022-04-20,85,1031.83,West,840,2000-03-22,2022,1.23
5,sale_674,30,2021-10-02,98,4202.83,North,2606.2,2002-06-09,2021,1.61
20,sale_764,16,2020-11-12,65,3036.29,North,4867,2019-11-25,2020,0.62
18,sale_998,36,2021-09-17,50,1167.35,West,1191,2016-01-23,2021,0.98
14,sale_658,29,2020-11-11,9,245.9,North,1116,2003-06-30,2020,0.22
5,sale_42,16,2021-02-03,74,1877.34,North,2606.2,2002-06-09,2021,0.72
19,sale_137,13,2022-06-28,62,652.26,North,2606.2,2018-10-12,2022,0.25
3,sale_526,34,2022-10-09,59,598,West,4989,2000-08-23,2022,0.12
16,sale_96,39,2020-05-18,9,101.16,East,2606.2,2003-10-01,2020,0.04
11,sale_324,8,2022-12-17,43,363.24,East,2606.2,2018-04-22,2022,0.14
10,sale_345,18,2020-10-06,32,775.6,East,2606.2,2006-01-18,2020,0.3
2,sale_352,14,2022-08-09,38,494.44,West,1510,2009-07-07,2022,0.33
3,sale_370,10,2022-03-13,61,1881.18,West,4989,2000-08-23,2022,0.38
17,sale_653,25,2022-10-21,96,685.19,East,2606.2,2010-09-23,2022,0.26
18,sale_30,11,2021-11-07,14,388.12,West,1191,2016-01-23,2021,0.33
7,sale_684,17,2021-01-27,12,450.62,North,2606.2,2005-07-19,2021,0.17
9,sale_867,15,2022-01-05,57,480.83,North,3653,2018-12-24,2022,0.13
20,sale_16,2,2022-03-02,73,3144.19,North,4867,2019-11-25,2022,0.65
19,sale_59,32,2020-12-08,12,212.68,North,2606.2,2018-10-12,2020,0.08
17,sale_250,33,2020-11-15,77,2731.69,East,2606.2,2010-09-23,2020,1.05
11,sale_903,45,2021-06-08,85,3171.91,East,2606.2,2018-04-22,2021,1.22
18,sale_61,46,2020-06-29,37,1695.67,West,1191,2016-01-23,2020,1.42
13,sale_663,16,2022-12-08,59,613.29,West,2606.2,2009-10-03,2022,0.24
9,sale_247,43,2020-07-31,29,1384.83,North,3653,2018-12-24,2020,0.38
14,sale_330,29,2021-09-11,34,1671.22,North,1116,2003-06-30,2021,1.5
11,sale_110,28,2020-05-31,24,1132.95,East,2606.2,2018-04-22,2020,0.43
12,sale_252,2,2022-03-01,29,525.37,West,840,2000-03-22,2022,0.63
17,sale_293,36,2021-03-23,53,439.21,East,2606.2,2010-09-23,2021,0.17
11,sale_478,37,2020-06-20,78,2413.11,East,2606.2,2018-04-22,2020,0.93
14,sale_45,50,2022-11-22,17,702.14,North,1116,2003-06-30,2022,0.63
7,sale_121,22,2020-01-12,80,1483.16,North,2606.2,2005-07-19,2020,0.57
20,sale_184,28,2022-07-08,80,2076,North,4867,2019-11-25,2022,0.43
5,sale_795,37,2022-02-10,8,346.08,North,2606.2,2002-06-09,2022,0.13
9,sale_952,8,2020-03-07,6,144.31,North,3653,2018-12-24,2020,0.04
11,sale_113,43,2022-01-10,86,2944.92,East,2606.2,2018-04-22,2022,1.13
20,sale_212,12,2022-05-21,74,3341.64,North,4867,2019-11-25,2022,0.69
7,sale_732,14,2022-02-01,37,1482.13,North,2606.2,2005-07-19,2022,0.57
17,sale_746,37,2020-07-19,20,577.29,East,2606.2,2010-09-23,2020,0.22
2,sale_178,43,2020-05-26,82,2824.61,West,1510,2009-07-07,2020,1.87
5,sale_538,15,2020-12-01,62,735.33,North,2606.2,2002-06-09,2020,0.28
5,sale_169,50,2022-06-23,42,644.25,North,2606.2,2002-06-09,2022,0.25
19,sale_223,19,2021-10-18,43,396.16,North,2606.2,2018-10-12,2021,0.15
20,sale_688,48,2020-05-22,11,150.48,North,4867,2019-11-25,2020,0.03
17,sale_993,27,2022-02-23,43,606.97,East,2606.2,2010-09-23,2022,0.23
16,sale_394,18,2021-07-07,50,2236.9,East,2606.2,2003-10-01,2021,0.86
9,sale_673,36,2022-03-22,40,528.4,North,3653,2018-12-24,2022,0.14
16,sale_772,15,2020-10-10,28,782.48,East,2606.2,2003-10-01,2020,0.3
13,sale_915,16,2022-07-09,21,419.32,West,2606.2,2009-10-03,2022,0.16
10,sale_447,44,2022-11-16,82,2676.67,East,2606.2,2006-01-18,2022,1.03
2,sale_522,26,2021-07-03,77,3594.94,West,1510,2009-07-07,2021,2.38
14,sale_226,24,2022-10-25,42,1376.01,North,1116,2003-06-30,2022,1.23
14,sale_372,5,2020-10-09,77,1140.07,North,1116,2003-06-30,2020,1.02
16,sale_380,49,2020-02-12,20,397.55,East,2606.2,2003-10-01,2020,0.15
4,sale_789,6,2020-05-02,74,2921,West,4942,2016-08-12,2020,0.59
2,sale_615,10,2022-03-14,73,1091.27,West,1510,2009-07-07,2022,0.72
3,sale_641,22,2020-12-16,25,504.6,West,4989,2000-08-23,2020,0.1
20,sale_843,44,2021-10-06,79,3887.26,North,4867,2019-11-25,2021,0.8
7,sale_873,45,2020-04-21,67,1814.76,North,2606.2,2005-07-19,2020,0.7
2,sale_966,27,2022-04-26,4,171.21,West,1510,2009-07-07,2022,0.11
19,sale_131,39,2022-01-21,33,884.59,North,2606.2,2018-10-12,2022,0.34
13,sale_336,22,2021-11-11,24,919.62,West,2606.2,2009-10-03,2021,0.35
2,sale_404,34,2022-07-22,27,563.34,West,1510,2009-07-07,2022,0.37
19,sale_471,15,2021-03-29,63,2714.82,North,2606.2,2018-10-12,2021,1.04
16,sale_888,24,2021-06-09,44,469.58,East,2606.2,2003-10-01,2021,0.18
12,sale_501,31,2022-04-13,90,1994.59,West,840,2000-03-22,2022,2.37
10,sale_725,14,2022-04-01,80,2702.46,East,2606.2,2006-01-18,2022,1.04
18,sale_847,23,2022-12-15,66,2664.18,West,1191,2016-01-23,2022,2.24
17,sale_855,7,2021-02-21,78,3340.03,East,2606.2,2010-09-23,2021,1.28
11,sale_981,22,2021-08-08,98,1220.06,East,2606.2,2018-04-22,2021,0.47
16,sale_428,38,2021-09-08,10,97.55,East,2606.2,2003-10-01,2021,0.04
16,sale_185,12,2022-12-13,81,1112.23,East,2606.2,2003-10-01,2022,0.43
19,sale_930,50,2021-02-20,32,251.64,North,2606.2,2018-10-12,2021,0.1
18,sale_249,49,2020-08-16,29,382.13,West,1191,2016-01-23,2020,0.32
20,sale_458,44,2020-07-09,99,1203.89,North,4867,2019-11-25,2020,0.25
14,sale_713,47,2020-05-01,95,1689.52,North,1116,2003-06-30,2020,1.51
18,sale_963,47,2020-12-25,45,1898.75,West,1191,2016-01-23,2020,1.59
11,sale_477,15,2022-08-15,79,588.22,East,2606.2,2018-04-22,2022,0.23
16,sale_757,32,2020-06-08,81,2298.97,East,2606.2,2003-10-01,2020,0.88
18,sale_317,43,2022-12-14,42,460.38,West,1191,2016-01-23,2022,0.39
11,sale_481,11,2022-09-20,93,3354.77,East,2606.2,2018-04-22,2022,1.29
4,sale_147,1,2020-08-08,87,3535.3,West,4942,2016-08-12,2020,0.72
11,sale_557,46,2020-10-16,53,1928.85,East,2606.2,2018-04-22,2020,0.74
4,sale_650,14,2022-04-27,22,562.66,West,4942,2016-08-12,2022,0.11
18,sale_783,15,2021-03-18,35,1588.67,West,1191,2016-01-23,2021,1.33
4,sale_25,13,2021-05-25,50,934.13,West,4942,2016-08-12,2021,0.19
13,sale_142,31,2022-05-04,44,2088.62,West,2606.2,2009-10-03,2022,0.8
9,sale_242,15,2021-01-30,11,203.53,North,3653,2018-12-24,2021,0.06
2,sale_297,35,2022-06-04,72,3532.33,West,1510,2009-07-07,2022,2.34
19,sale_601,24,2022-06-26,7,73.39,North,2606.2,2018-10-12,2022,0.03
3,sale_706,25,2021-11-29,37,1827.66,West,4989,2000-08-23,2021,0.37
7,sale_743,48,2021-07-16,11,156.76,North,2606.2,2005-07-19,2021,0.06
13,sale_884,2,2020-02-25,100,4831.9,West,2606.2,2009-10-03,2020,1.85
19,sale_50,29,2020-05-15,74,2529.28,North,2606.2,2018-10-12,2020,0.97
20,sale_156,10,2022-04-02,44,1056.39,North,4867,2019-11-25,2022,0.22
12,sale_829,48,2022-11-16,39,591.78,West,840,2000-03-22,2022,0.7
14,sale_154,29,2021-04-12,100,3980.23,North,1116,2003-06-30,2021,3.57
18,sale_636,27,2021-09-14,91,2714.39,West,1191,2016-01-23,2021,2.28
14,sale_827,13,2022-12-20,38,692.27,North,1116,2003-06-30,2022,0.62
20,sale_860,42,2021-07-12,21,161.29,North,4867,2019-11-25,2021,0.03
10,sale_862,35,2020-09-29,67,2174.57,East,2606.2,2006-01-18,2020,0.83
11,sale_146,50,2020-12-05,69,3289.67,East,2606.2,2018-04-22,2020,1.26
3,sale_491,42,2020-12-27,85,2878.76,West,4989,2000-08-23,2020,0.58
19,sale_272,6,2022-01-14,91,1612.76,North,2606.2,2018-10-12,2022,0.62
4,sale_631,22,2022-02-08,2,92.57,West,4942,2016-08-12,2022,0.02
2,sale_716,11,2021-08-10,5,90.35,West,1510,2009-07-07,2021,0.06
11,sale_846,23,2021-01-06,28,1379.24,East,2606.2,2018-04-22,2021,0.53
4,sale_648,46,2021-03-16,34,1062.49,West,4942,2016-08-12,2021,0.21
17,sale_170,31,2021-05-04,1,16.37,East,2606.2,2010-09-23,2021,0.01
17,sale_308,17,2022-11-16,52,1019.29,East,2606.2,2010-09-23,2022,0.39
11,sale_369,43,2022-03-14,42,1646.44,East,2606.2,2018-04-22,2022,0.63
3,sale_599,5,2021-09-14,47,501.76,West,4989,2000-08-23,2021,0.1
10,sale_983,6,2020-09-29,44,1192.22,East,2606.2,2006-01-18,2020,0.46
11,sale_91,29,2021-12-11,22,824.64,East,2606.2,2018-04-22,2021,0.32
3,sale_159,2,2022-04-26,40,725.97,West,4989,2000-08-23,2022,0.15
10,sale_218,32,2021-05-02,6,97.11,East,2606.2,2006-01-18,2021,0.04
7,sale_386,15,2022-07-17,31,1273.29,North,2606.2,2005-07-19,2022,0.49
10,sale_763,10,2020-09-02,35,857.52,East,2606.2,2006-01-18,2020,0.33
10,sale_980,11,2022-10-13,46,2115.77,East,2606.2,2006-01-18,2022,0.81
18,sale_179,18,2022-02-14,32,1343.29,West,1191,2016-01-23,2022,1.13
17,sale_312,12,2020-05-25,94,2078.51,East,2606.2,2010-09-23,2020,0.8
3,sale_3,20,2020-05-25,88,1477.8,West,4989,2000-08-23,2020,0.3
4,sale_144,48,2021-12-31,2,67.27,West,4942,2016-08-12,2021,0.01
11,sale_398,26,2021-11-19,70,850.79,East,2606.2,2018-04-22,2021,0.33
12,sale_502,20,2020-09-20,49,1337.6,West,840,2000-03-22,2020,1.59
9,sale_623,29,2022-12-22,36,273.09,North,3653,2018-12-24,2022,0.07
2,sale_911,26,2022-04-08,59,1200.56,West,1510,2009-07-07,2022,0.8
7,sale_436,41,2020-12-15,8,226.24,North,2606.2,2005-07-19,2020,0.09
3,sale_516,50,2021-09-29,29,1019.57,West,4989,2000-08-23,2021,0.2
20,sale_671,15,2022-09-30,82,710.78,North,4867,2019-11-25,2022,0.15
17,sale_923,6,2021-07-03,10,80.06,East,2606.2,2010-09-23,2021,0.03
2,sale_138,9,2022-12-02,38,1020.06,West,1510,2009-07-07,2022,0.68
18,sale_693,5,2020-08-14,45,525.81,West,1191,2016-01-23,2020,0.44
14,sale_776,18,2022-08-05,67,2493.33,North,1116,2003-06-30,2022,2.23
17,sale_778,30,2022-10-16,11,156.35,East,2606.2,2010-09-23,2022,0.06
12,sale_118,15,2022-03-11,61,1541.23,West,840,2000-03-22,2022,1.83
20,sale_430,35,2020-10-02,94,1998.98,North,4867,2019-11-25,2020,0.41
9,sale_467,30,2020-01-19,75,1742.47,North,3653,2018-12-24,2020,0.48
10,sale_876,42,2020-05-01,60,783.48,East,2606.2,2006-01-18,2020,0.3
2,sale_568,5,2022-11-29,79,2392.74,West,1510,2009-07-07,2022,1.58
9,sale_721,23,2021-03-01,82,2625.34,North,3653,2018-12-24,2021,0.72
17,sale_823,32,2022-09-11,36,1060.63,East,2606.2,2010-09-23,2022,0.41
2,sale_373,20,2022-08-15,88,2385.19,West,1510,2009-07-07,2022,1.58
7,sale_82,24,2021-05-29,98,979.46,North,2606.2,2005-07-19,2021,0.38
9,sale_329,8,2021-03-08,10,223.06,North,3653,2018-12-24,2021,0.06
3,sale_817,13,2022-07-12,40,302.31,West,4989,2000-08-23,2022,0.06
12,sale_751,32,2022-09-25,92,2182.94,West,840,2000-03-22,2022,2.6
19,sale_786,2,2022-06-10,7,275.03,North,2606.2,2018-10-12,2022,0.11
4,sale_796,2,2022-12-22,96,3014.13,West,4942,2016-08-12,2022,0.61
11,sale_857,15,2020-06-18,84,3498.95,East,2606.2,2018-04-22,2020,1.34
17,sale_89,39,2020-10-25,85,1401.92,East,2606.2,2010-09-23,2020,0.54
11,sale_303,18,2020-03-10,42,1505.31,East,2606.2,2018-04-22,2020,0.58
4,sale_726,43,2021-05-09,7,148.02,West,4942,2016-08-12,2021,0.03
7,sale_65,32,2021-05-01,93,2897.37,North,2606.2,2005-07-19,2021,1.11
5,sale_77,49,2022-05-04,39,378.85,North,2606.2,2002-06-09,2022,0.15
14,sale_682,50,2022-08-29,31,1457.5,North,1116,2003-06-30,2022,1.31
13,sale_868,22,2021-04-12,67,1946.76,West,2606.2,2009-10-03,2021,0.75
4,sale_924,40,2021-11-28,33,712.22,West,4942,2016-08-12,2021,0.14
18,sale_990,14,2022-03-18,37,380.73,West,1191,2016-01-23,2022,0.32
12,sale_341,12,2021-09-29,18,202.03,West,840,2000-03-22,2021,0.24
18,sale_567,29,2021-05-16,9,161.9,West,1191,2016-01-23,2021,0.14
13,sale_664,6,2022-06-28,95,3677.12,West,2606.2,2009-10-03,2022,1.41
9,sale_263,39,2021-01-18,24,603.01,North,3653,2018-12-24,2021,0.17
7,sale_292,38,2020-11-24,84,2214.35,North,2606.2,2005-07-19,2020,0.85
13,sale_411,18,2020-07-03,77,1109.65,West,2606.2,2009-10-03,2020,0.43
13,sale_73,41,2020-06-09,81,934.74,West,2606.2,2009-10-03,2020,0.36
18,sale_151,1,2022-02-07,65,2285.96,West,1191,2016-01-23,2022,1.92
12,sale_34,36,2021-10-24,29,560.8,West,840,2000-03-22,2021,0.67
20,sale_309,37,2022-08-04,64,1816.34,North,4867,2019-11-25,2022,0.37
2,sale_453,21,2021-10-21,14,394.12,West,1510,2009-07-07,2021,0.26
12,sale_527,35,2021-03-16,11,494.07,West,840,2000-03-22,2021,0.59
17,sale_863,1,2020-08-01,60,1407.5,East,2606.2,2010-09-23,2020,0.54
16,sale_871,44,2022-01-07,90,2001.19,East,2606.2,2003-10-01,2022,0.77
10,sale_544,35,2020-04-28,22,598.72,East,2606.2,2006-01-18,2020,0.23
16,sale_922,47,2022-04-24,18,589.83,East,2606.2,2003-10-01,2022,0.23
7,sale_331,23,2021-09-03,80,1417.93,North,2606.2,2005-07-19,2021,0.54
12,sale_456,30,2020-09-25,18,827.16,West,840,2000-03-22,2020,0.98
2,sale_464,38,2022-07-23,5,86.38,West,1510,2009-07-07,2022,0.06
19,sale_525,27,2022-06-27,7,199.9,North,2606.2,2018-10-12,2022,0.08
3,sale_585,26,2021-06-16,3,126.7,West,4989,2000-08-23,2021,0.03
19,sale_606,49,2020-09-03,75,2955.69,North,2606.2,2018-10-12,2020,1.13
2,sale_905,48,2022-06-11,45,1332.05,West,1510,2009-07-07,2022,0.88
13,sale_505,38,2022-10-09,27,219.75,West,2606.2,2009-10-03,2022,0.08
9,sale_676,50,2021-03-31,97,1663.2,North,3653,2018-12-24,2021,0.46
